| Song: Bedroom Bossa - Aice Room, Nor | 
| CHARTING STYLE: targetBeat, noteType|
| targetBeat: a float denoting the beat where note noteType will arrive at the hit point. Using regular musical notation: 1 = quarter note, 2 = half note, 0.5 = eighth note, 0.25 sixtheenth, etc | 
| noteType: An enum that determines the type of note to be spawned. View SongObject.cs to see available note types. |
4, Note
8, Note
12, Note
16, Note
20, Note
24, Note
28, Note
| SECTION 2
32, Note
34, Note
36, Note
38, Note
40, Note
42, Note
44, Note
46, Note
48, Note
50, Note
52, Note
54, Note
56, Note
58, Note
60, Note
62, Note
64, TriangleNote
| SECTION 3
66, Note
68, GhostNote
70, Note
72, GhostNote
74, Note
76, GhostNote
78, Note
80, GhostNote
82, Note
84, GhostNote
86, Note
88, GhostNote
90, GhostNote
92, GhostNote
94, TriangleNote
| SECTION 4
96, Note
96.5, Note
98, Note
98.5, Note
100, Note
100.5, Note
102, Note
102.5, Note
104, Note
104.5, Note
106, Note
106.5, Note
108, Note
108.5, Note
110, Note
110.5, Note
112, Note
112.5, Note
114, Note
114.5, Note
116, Note
116.5, Note
118, Note
118.5, Note
120, Note
120.5, Note
122, Note
122.5, Note
124, Note
124.5, Note
126, Note
126.5, Note
| SECTION 5
128, Note
129, Note
130, Note
131, Note
132, Note
133, Note
134, Note
135, Note
136, Note
137, Note
138, Note
139, Note
140, Note
141, GhostNote
142, Note
143, GhostNote
144, Note
145, GhostNote
146, Note
147, GhostNote
148, Note
149, GhostNote
150, Note
151, GhostNote
152, GhostNote
153, GhostNote
154, Note
|SECTION 6
160, Note
161, Note

162.5, Note

163.5, GhostNote
164.5, Note

166, Note
167, Note

168, Note
169, Note

170.5, GhostNote
171.5, Note
172.5, Note
174, Note

175, GhostNote
175.5, GhostNote

176, Note
177, Note

178.5, Note

179.5, GhostNote
180.5, GhostNote

182, Note
183, Note

184, GhostNote

185, GhostNote

186.5, Note
187.5, Note
188.5, Note
190, Note
191, GhostNote






